Parameters,Temporal_Block,Treatment,Time_to_1st_probe_from_start_of_EPG,Number_of_probes_to_the_1st_E1,Number_of_F_,Duration_of_1st_probe,Duration_of_2nd_probe,Duration_of_the_shortest_C_wave_before_E1,Duration_of_the_second_nonprobe_period,Total_duration_of_F_,Duration_of_nonprobe_period_before_the_1st_E,Mean_duration_of_pd,Mean_duration_of_pd-L,Mean_duration_of_pd-S,Average_number_of_pd_per_probe,Mean_duration_of_F,Time_from_start_of_EPG_to_1st_Ey,Time_from_1st_probe_to_1st_Ey,Time_from_the_beginning_of_that_probe_to_1st_Ey_,Number_of_G,Duration_of_G,Mean_duration_of_G,Number_of_probes_after_1st_E,Number_of_probes_(shorter_than_3_minutes)_after_1st_E,Number_of_E1,Number_of_E1_(longer_than_10_minutes)_followed_by_E2,Number_of_single_E1,Number_of_E2,Number_of_sustained_E2_(longer_than_10_minutes),Duration_of_1st_E,Contribution_of_E1_to_phloem_phase_(%),Duration_the_E1_followed_by_first_sustained_E2_(>10_min),Duration_the_E1_followed_by_the_first__E2,Potential_E2_index,Total_duration_of_E,Total_duration_of_E1,Total_duration_of_E1_followed_by_sustained_E2_(>10_min),Total_duration_of_E1_followed_by_E2,Total_duration_of_single_E1,Total_duration_of_E1_followed_by_E2_and_E2,Total_duration_of_E2,Mean_duration_of_E1,Mean_duration_of_E2,Number_of_probes,Number_of_C,Number_of_short_probes_(C<3_minutes),Number_of_np,Number_of_pd,Number_of_pd-L,Number_of_pd-S,Number_of_E1e,Total_duration_of_C,Total_duration_of_E1e,Total_duration_of_no_phloematic_phase,Total_duration_of_np,Total_duration_of_pd,Total_duration_of_pd-L,Total_duration_of_pd-S,Total_probing_time,Mean_duration_of_np,Mean_duration_of_C,Time_to_from_start_of_EPG_1st_sustained_E2_(10_minutes)y,Time_from_1st_probe_to_1st_sustained_E2_(10_minutes)y,Time_from_the_beginning_of_that_probe_to_1st_sustained_E2_(10_minutes)y_,Time_from_start_of_EPG_to_1st_E2y,Time_from_1st_probe_to_1st_E2y,Time_from_the_beginning_of_that_probe_to_1st_E2y,Total_duration_of_np_during_the_1st_hour,Total_duration_of_np_during_the_2nd_hour,Total_duration_of_np_during_the_3rd_hour,Total_duration_of_np_during_the_4th_hour,Total_duration_of_np_during_the_5th_hour,Total_duration_of_np_during_the_6th_hour,Number_of_pd-S_during_the_1st_hour,Number_of_pd-S_during_the_2nd_hour,Number_of_pd-S_during_the_3rd_hour,Number_of_pd-S_during_the_4th_hour,Number_of_pd-S_during_the_5th_hour,Number_of_pd-S_during_the_6th_hour,Average_duration_of_pd-S_during_the_1st_hour,Average_duration_of_pd-S_during_the_2nd_hour,Average_duration_of_pd-S_during_the_3rd_hour,Average_duration_of_pd-S_during_the_4th_hour,Average_duration_of_pd-S_during_the_5th_hour,Average_duration_of_pd-S_during_the_6th_hour,Number_of_F_during_the_1st_hour,Number_of_F_during_the_2nd_hour,Number_of_F_during_the_3rd_hour,Number_of_F_during_the_4th_hour,Number_of_F_during_the_5th_hour,Number_of_F_during_the_6th_hour,Total_duration_of_F_during_the_1st_hour,Total_duration_of_F_during_the_2nd_hour,Total_duration_of_F_during_the_3rd_hour,Total_duration_of_F_during_the_4th_hour,Total_duration_of_F_during_the_5th_hour,Total_duration_of_F_during_the_6th_hour,Number_of_probes_during_the_1st_hour,Number_of_probes_during_the_2nd_hour,Number_of_probes_during_the_3rd_hour,Number_of_probes_during_the_4th_hour,Number_of_probes_during_the_5th_hour,Number_of_probes_during_the_6th_hour,Time_from_the_beginning_of_the_1st_probe_to_first_pd_,Time_from_the_end_of_the_last_pd_to_the_end_of_the_probe,Total_duration_of_subphase_II1_fo_the_pd,Total_duration_of_subphase_II2_fo_the_pd,Total_duration_of_subphase_II3_fo_the_pd,Time_from_the_end_of_the_last_pde_to_the_end_of_the_EPG_record_(Z),Time_from_the_beginning_of_E1_to_the_end_of_the_EPG_record_(Z),Duration_of_the_longest_E2,Duration_of_np_just_after_the_probe_of_the_first_sustained_E2,Duration_of_np_just_after_the_probe_of_the_first_sustained_E2_if_it_lasts_untill_the_end_of_the_recording,%_of_probing_spent_in_C,%_of_probing_spent_in_E1,%_of_probing_spent_in_E2,%_of_probing_spent_in_F,%_of_probing_spent_in_G,%_E2_>10_min
Trial1_Ch3,Spring,Larvae,47.07,5,0,24.9,66.57,1472.62,58.18,0,366.75,4.803768116,.,4.803768116,17.25,.,2515.62,2468.55,1956.94,1,1052.79,1052.79,11,5,9,0,0,9,4,767.98,5.770766813,36.47,36.47,18.1129469,5045.43,291.16,130.72,291.16,0,5045.43,4754.27,32.35111111,528.2522222,16,25,9,16,276,0,276,0,13748.03,.,23754.57,8953.75,1325.84,.,1325.84,19846.25,559.609375,549.9212,2552.09,2505.02,1993.41,2552.09,2505.02,1993.41,366.75,926.9,2826.47,67.03,3469.26,1297.34,58,47,14,55,1,38,5.28862069,4.935531915,5.051428571,4.591636364,1.81,4.787631579,.,.,.,.,.,.,.,.,.,.,.,.,5,4,6,2,2,1,7.06,11.22,.,.,.,275.21,.,1150.68,144.43,.,69.27268376,1.467078163,23.95550797,0,5.304730113,44.44444444
Trial1_Ch8,Spring,Adult,62.53,1,0,6715.67,286.64,1534.03,242.16,0,62.53,4.587723577,.,4.587723577,19.42105263,.,6009.62,5947.09,5947.09,1,3568.71,3568.71,18,4,6,0,2,4,0,72.79,41.08083027,0,345.09,5.666720616,1616.35,664.01,0,468.17,195.84,1420.51,952.34,110.6683333,238.085,19,26,4,19,369,0,369,0,21504.11,.,27183.65,2110.83,1692.87,.,1692.87,26689.17,111.0963158,827.0811538,28800,28737.47,28800,11994.16,11931.63,1879.12,62.53,242.16,343.15,0,438.61,0,60,67,58,48,27,26,4.867,4.420597015,4.343793103,4.898333333,5.522592593,4.500769231,.,.,.,.,.,.,.,.,.,.,.,.,1,2,4,1,3,1,61.7,70.01,.,.,.,146.04,.,584.31,0,.,80.57241945,2.487937991,3.568263831,0,13.37137873,0
Trial2_Ch3,Spring,Larvae,0,2,0,3598.89,23293.31,12087.74,1025.89,0,1025.89,4.672857143,.,4.672857143,56,.,16712.52,16712.52,12087.74,2,2003.72,1001.86,2,1,3,0,1,2,0,122.48,24.00605789,0,52.13,9.297138983,891.4,213.99,0,91.51,122.48,768.92,677.41,71.33,338.705,4,9,1,3,224,0,224,0,24698.7,.,27907.5,1205.08,1046.72,.,1046.72,27593.82,401.6933333,2744.3,28798.9,28798.9,28800,21512.68,21512.68,16887.9,1.11,1024.78,0,0,0,0,17,1,8,5,60,39,5.075294118,4.49,4.46875,5.464,4.789,4.413076923,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,343.26,721.44,.,.,.,94.21,.,398.05,0,.,89.50808551,0.775499731,2.45493375,0,7.261481013,0
Trial3_Ch1,Spring,Control,73.54,4,0,124.28,92.44,782.97,76.59,0,260.79,4.405324074,.,4.405324074,8,.,1733.48,1659.94,921.72,0,0,.,23,8,6,0,0,6,2,78.68,5.587619794,33.38,41.88,16.27670156,4659.05,260.33,67.48,260.33,0,4659.05,4398.72,43.38833333,733.12,27,33,10,27,216,0,216,0,14278.58,.,24140.95,9862.37,951.55,.,951.55,18937.63,365.272963,432.6842424,4838.79,4765.25,1901.04,1775.36,1701.82,963.6,861.23,0,628.26,2178.7,898.37,1806.59,47,25,13,20,44,23,4.613829787,4.206,4.333076923,4.3655,4.208409091,4.563043478,.,.,.,.,.,.,.,.,.,.,.,.,7,1,4,3,4,5,11.12,82.48,.,.,.,66.52,.,2402.26,146.85,.,75.39792466,1.374670431,23.22740491,0,0,33.33333333
Trial3_Ch3,Spring,Larvae,5.33,8,0,2613.75,230,2573.31,36.45,0,2935.12,4.843257576,.,4.843257576,7.333333333,.,10757.34,10752.01,2573.31,0,0,.,10,3,2,0,0,2,2,3154.4,2.040684668,61.14,61.14,28.71136589,5270.29,107.55,107.55,107.55,0,5270.29,5162.74,53.775,2581.37,18,20,4,18,132,0,132,0,14486.14,.,23529.71,9043.57,639.31,.,639.31,19756.43,502.4205556,724.307,10818.48,10813.15,2634.45,10818.48,10813.15,2634.45,230.55,1720.54,984.03,0,1393.22,1937.03,22,6,39,2,4,19,5.181363636,5.765,5.104358974,4.64,5.26,4.383684211,.,.,.,.,.,.,.,.,.,.,.,.,4,4,1,1,2,4,27.94,234.42,.,.,.,385.29,.,3093.26,247.23,.,73.32367234,0.544379729,26.13194793,0,0,100
Trial4_Ch3,Spring,Larvae,442.23,1,0,2540.61,46.2,822.68,114.5,0,442.23,4.613198381,.,4.613198381,20.58333333,.,2240.59,1798.36,1798.36,0,0,.,11,2,12,0,0,12,5,82.19,2.358907807,17.12,43.73,45.62658774,12390.48,292.28,101.95,292.28,0,12390.48,12098.2,24.35666667,1008.183333,12,24,2,13,247,0,247,0,13155.09,.,16409.52,3254.43,1139.46,.,1139.46,25545.57,250.3407692,548.12875,6541.26,6099.03,2759.59,2284.32,1842.09,1842.09,666.02,102.2,137.52,0,0,0,55,45,48,30,13,0,4.672363636,4.632222222,4.597083333,4.425,4.522307692,.,.,.,.,.,.,.,.,.,.,.,.,.,3,2,2,1,1,1,31.48,29.82,.,.,.,1643.19,.,5156.11,137.52,.,51.49656085,1.144151413,47.35928774,0,0,41.66666667
Trial4_Ch8,Spring,Adult,5.38,2,0,2495.59,26035.65,2025.5,263.38,0,268.76,4.824814815,.,4.824814815,40.5,.,4789.85,4784.47,2025.5,0,0,.,0,0,2,0,0,2,2,1826.32,0.256266173,31.68,31.68,96.6779782,23241.46,59.56,59.56,59.56,0,23241.46,23181.9,29.78,11590.95,2,3,0,2,81,0,81,0,5289.78,.,5558.54,268.76,390.81,.,390.81,28531.24,134.38,1763.26,4821.53,4816.15,2057.18,4821.53,4816.15,2057.18,268.76,0,0,0,0,0,46,31,4,0,0,0,4.986304348,4.573548387,4.915,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,1,1,1,1,1,4.49,55.03,.,.,.,21440.05,.,21387.26,0,.,18.5403088,0.208753633,81.25093757,0,0,100
Trial5_Ch4,Spring,Larvae,13453.92,4,0,3931.75,390.52,1769.09,3504.78,0,17036.4,4.408588957,.,4.408588957,32.6,.,23188.2,9734.28,1769.09,0,0,.,1,0,4,0,2,2,0,106.56,79.11329294,0,99.84,2.470083237,651.85,515.7,0,233.01,282.69,369.16,136.15,128.925,68.075,5,9,1,5,163,0,163,0,11052.79,.,28148.15,17095.36,718.6,.,718.6,11704.64,3419.072,1228.087778,28800,15346.08,28800,23288.04,9834.12,1868.93,3600,3600,3600,2653.92,614.33,2968.15,0,0,0,8,23,0,.,.,.,4.465,4.791304348,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,1,1,3,14.28,36.34,.,.,.,3.96,.,129.43,0,.,94.4308411,4.405944993,1.163213905,0,0,0
Trial6_Ch4,Spring,Control,5796.74,3,0,2580.52,544.06,1264.61,178.23,0,6056.8,4.82486631,.,4.82486631,20.77777778,.,10627.3,4830.56,1445.92,0,0,.,6,0,10,0,4,6,4,94.03,7.885732394,49.18,48.1,55.71558578,7005.31,552.42,122.22,195.84,356.58,6648.73,6452.89,55.242,1075.481667,9,19,0,9,187,0,187,0,14788.96,.,21794.69,7005.73,902.25,.,902.25,21794.27,778.4144444,778.3663158,17890.24,12093.5,2974.96,17218.16,11421.42,2302.88,3600,2196.74,260.06,371.45,375.71,0,0,22,59,16,37,9,.,5.010454545,4.949655172,5.363125,4.686216216,5.054444444,.,.,.,.,.,.,.,.,.,.,.,.,0,1,3,4,2,1,49.21,82.78,.,.,.,14.72,.,2215.19,119.31,.,67.85710189,2.534702929,29.60819518,0,0,66.66666667
Trial7_Ch4,Spring,Larvae,4591.18,1,0,9537.68,357.13,120.41,305.68,0,4591.18,4.597083333,.,4.597083333,8.571428571,.,6298.78,1707.6,1707.6,1,4110.04,4110.04,13,4,7,0,5,2,1,143.6,36.32668608,39.12,39.12,5.537500817,1916.58,696.23,39.12,70.52,625.71,1290.87,1220.35,99.46142857,610.175,14,22,4,14,120,0,120,0,9460.75,.,26883.42,13312.63,551.65,.,551.65,15487.37,950.9021429,430.0340909,6762.08,2170.9,2170.9,6762.08,2170.9,2170.9,3600,991.18,0,271.14,3105.61,2327.37,0,15,27,5,9,11,.,4.362666667,4.908148148,4.828,4.911111111,4.547272727,.,.,.,.,.,.,.,.,.,.,.,.,0,1,1,1,2,4,38.76,65.52,.,.,.,15.42,.,905.72,305.68,.,61.08687272,4.495469534,7.879646447,0,26.5380113,50
