Parameters,Block,Treatment,Number_XylemFeeding,Duration_XylemFeeding,Number_Salivation,Number_SalivationOnly,Number_Ingestion,Duration_Salivation,Duration_Ingestion,CellProbes,Duration_MesoFeeding,Duration_nonprobe,TimeFromStart_FirstSusIngestion,PropActivity_ingestion,PropActivity_salivation,PropActivity_searching
Trial1_Ch8,Spring,Adults,1,59.4785,6,2,4,11.06683333,15.87233333,19,358.4018333,35.1805,480,0.035682638,0.02487938,0.805724194
Trial4_Ch8,Spring,Adults,0,0,2,0,2,0.992666667,386.365,2,88.163,4.479333333,80.35883333,0.812509376,0.002087536,0.185403088
Trial9_Ch2,Spring,Adults,0,0,7,0,7,5.246166667,335.6746667,1,79.28483333,0.294333333,45.36233333,0.699751306,0.01093622,0.165278084
Trial10_Ch7,Spring,Adults,0,0,5,2,3,11.687,47.162,25,155.5208333,265.6301667,45.01116667,0.22000297,0.054517932,0.725479098
Trial11_Ch7,Spring,Adults,1,9.595166667,1,0,1,0.5095,362.6495,1,102.7413333,4.5045,117.3505,0.762677039,0.001071514,0.216072146
Trial14_Ch8,Spring,Adults,0,0,5,0,4,9.106666667,278.9743333,21,156.9133333,35.00566667,208.2621667,0.626916597,0.02046468,0.352618722
Trial16_Ch7,Spring,Adults,0,0,8,2,6,9.162666667,90.79233333,16,204.589,175.456,350.1851667,0.298125503,0.030086512,0.671787985
Trial19_Ch7,Spring,Adults,0,0,7,0,7,5.712833333,229.056,12,148.4198333,96.81133333,103.6693333,0.597762982,0.01490867,0.387328348
Trial19_Ch8,Spring,Adults,0,0,1,0,1,0.921333333,351.1313333,5,124.2141667,3.733166667,128.8686667,0.737257581,0.00193449,0.260807929
Trial20_Ch7,Spring,Adults,4,60.96683333,1,0,1,1.876333333,12.0675,9,319.3795,85.70983333,467.9325,0.030605633,0.004758763,0.810011324
Trial28_Ch2,Summer,Adults,1,6.972,12,3,8,11.7265,89.50416667,54,302.4223333,69.375,185.9173333,0.217970573,0.028557686,0.736492745
Trial33_ch2,Summer,Adults,0,0,4,2,2,8.085,17.31116667,45,341.1298333,113.474,480,0.047230392,0.022058462,0.930711146
Trial34_Ch3,Summer,Adults,1,9.034333333,8,4,4,9.967833333,73.01433333,17,212.433,175.5505,394.1975,0.23982412,0.032740515,0.697761041
Trial34_Ch6,Summer,Adults,1,33.11483333,5,4,1,29.85066667,11.34616667,24,222.3696667,183.3186667,468.6538333,0.038243615,0.10061525,0.749523619
Trial35_Ch7,Summer,Adults,0,0,4,2,2,6.188666667,19.19383333,56,389.892,64.7255,451.2703333,0.046219629,0.014902593,0.938877778
Trial3_Ch1,Spring,Control,0,0,6,0,6,4.338833333,73.312,27,237.9763333,164.3728333,80.6465,0.232274049,0.013746704,0.753979247
Trial6_Ch4,Spring,Control,0,0,10,4,6,9.207,107.5481667,9,246.4826667,116.7621667,298.1706667,0.296081952,0.025347029,0.678571019
Trial10_Ch1,Spring,Control,2,64.5055,3,1,2,2.303,221.913,7,89.82316667,101.4553333,144.0363333,0.586226724,0.006083826,0.237285516
Trial11_Ch3,Spring,Control,0,0,1,0,1,0.671166667,37.86,18,367.5611667,169.205,442.14,0.121816632,0.002159516,1.182648262
Trial16_Ch1,Spring,Control,1,19.881,11,0,10,9.830333333,107.6481667,18,175.0038333,167.6366667,284.6426667,0.344624849,0.03147083,0.560257286
Trial18_Ch1,Spring,Control,1,10.43666667,4,0,4,4.439333333,238.3256667,10,220.2946667,6.503666667,121.8816667,0.503331599,0.009375645,0.465251051
Trial27_Ch1,Summer,Control,0,0,5,4,1,14.45666667,7.030833333,32,355.7586667,162.4476667,480,0.022140708,0.045525304,1.120315077
Trial30_Ch3,Summer,Control,0,0,1,0,1,1.28,37.9745,24,261.287,179.4585,114.1643333,0.126353598,0.004258979,0.869387422
Trial32_Ch2,Summer,Control,0,0,4,1,3,2.618166667,167.4735,10,182.1053333,127.803,227.5166667,0.475510865,0.007433813,0.517055322
Trial32_ch3,Summer,Control,0,0,2,0,2,1.6185,408.7198333,3,69.32433333,0.337333333,64.44966667,0.852098489,0.003374246,0.144527265
Trial32_ch4,Summer,Control,0,0,6,1,4,8.736333333,61.979,17,279.9155,129.3691667,226.0391667,0.176764261,0.024916044,0.798319695
Trial32_ch6,Summer,Control,0,0,8,1,7,11.85083333,38.7055,22,378.4846667,50.959,139.8268333,0.090213989,0.02762168,0.882164331
Trial1_Ch3,Spring,Larvae,1,17.5465,9,0,9,4.852666667,79.23783333,16,229.1338333,149.2291667,42.53483333,0.23955508,0.014670782,0.692726838
Trial2_Ch3,Spring,Larvae,2,33.39533333,3,1,2,3.5665,11.29016667,4,411.645,20.08466667,479.9816667,0.024548359,0.007754688,0.895045175
Trial3_Ch3,Spring,Larvae,0,0,2,0,2,1.7925,86.04566667,18,241.4356667,150.7261667,180.308,0.261319479,0.005443797,0.733236723
Trial4_Ch3,Spring,Larvae,0,0,12,0,12,4.871333333,201.6366667,12,219.2515,54.2405,109.021,0.473592877,0.011441514,0.514965609
Trial5_Ch4,Spring,Larvae,0,0,4,2,2,8.595,2.269166667,5,184.2131667,284.9226667,480,0.011632139,0.04405945,0.944308411
Trial7_Ch4,Spring,Larvae,1,68.50066667,7,5,2,11.60383333,20.33916667,14,157.6791667,221.8771667,112.7013333,0.078796464,0.044954695,0.610868727
Trial9_Ch7 ,Spring,Larvae,0,0,1,0,1,0.9845,157.6036667,6,65.92383333,255.488,322.3963333,0.701983264,0.004385066,0.293631669
Trial12_Ch6,Spring,Larvae,1,21.20866667,7,2,5,15.17016667,117.9203333,11,297.6641667,28.03666667,180.8701667,0.260906858,0.033565038,0.658602468
Trial13_Ch3,Spring,Larvae,0,0,12,5,7,7.900666667,52.07516667,59,335.5205,84.50366667,83.0965,0.131670416,0.019976586,0.848352998
Trial13_Ch4,Spring,Larvae,1,0.659166667,8,4,4,24.429,7.062833333,73,338.3746667,109.4743333,480,0.019061657,0.065930655,0.913228683
Trial21_Ch6,Spring,Larvae,1,4.467333333,4,2,2,7.063,41.006,8,213.2281667,214.2355,363.9008333,0.154294498,0.02657616,0.802319974
Trial29_Ch2,Summer,Larvae,0,0,6,1,5,15.72216667,0.854,40,408.6808333,54.743,480,0.002008197,0.036970977,0.961020826
Trial30_Ch1,Summer,Larvae,0,0,2,0,2,1.534666667,35.36283333,86,387.6498333,55.45266667,118.3976667,0.083295384,0.003614831,0.913089785
Trial33_ch3,Summer,Larvae,1,2.129833333,7,4,3,11.26316667,2.946833333,33,405.0683333,58.59183333,480,0.006992824,0.026727452,0.961225637
Trial33_ch6,Summer,Larvae,0,0,7,3,4,11.882,9.978666667,22,339.9386667,118.2006667,480,0.027580666,0.032841409,0.939577924
Trial33_ch8,Summer,Larvae,0,0,6,3,3,12.7755,13.96316667,44,356.1638333,98.43683333,480,0.03659464,0.033482005,0.933433477
Trial34_Ch4,Summer,Larvae,0,0,4,3,1,13.72983333,0.311666667,30,276.2266667,189.7318333,480,0.00107372,0.047300513,0.951625767
Trial34_Ch7,Summer,Larvae,0,0,6,1,5,8.615,76.45983333,42,258.0458333,0,229.41,0.159291319,0.017947917,0.537595486
Trial35_Ch6,Summer,Larvae,1,58.0735,3,1,2,13.22416667,0.163166667,20,199.1073333,209.4318333,480,0.000603052,0.048875545,0.735886027
Test_Ch3,Spring,Control,0,0,3,1,2,2.6395,51.492,53,347.6496667,78.21883333,39.046,0.128159317,0.006569497,0.865271186
Test_Ch4,Spring,Control,0,0,3,1,2,9.6455,118.9485,16,173.7555,177.6505,329.3916667,0.393413913,0.031901822,0.574684264
